Epoch	LR	Train Loss	
1.000000	0.010000	0.177601	
1.000000	0.010000	0.172325	
2.000000	0.009700	0.170768	
2.000000	0.009700	0.169219	
3.000000	0.009409	0.167892	
3.000000	0.009409	0.168619	
4.000000	0.009127	0.165778	
4.000000	0.009127	0.168356	
5.000000	0.008853	0.164743	
5.000000	0.008853	0.176863	
6.000000	0.008587	0.164463	
6.000000	0.008587	0.208344	
7.000000	0.008330	0.164355	
7.000000	0.008330	0.308763	
8.000000	0.008080	0.164286	
8.000000	0.008080	0.434410	
9.000000	0.007837	0.164232	
9.000000	0.007837	0.480736	
10.000000	0.007602	0.164199	
10.000000	0.007602	0.479680	
11.000000	0.007374	0.164177	
11.000000	0.007374	0.417470	
12.000000	0.007153	0.164160	
12.000000	0.007153	0.248115	
13.000000	0.006938	0.164147	
13.000000	0.006938	0.185797	
14.000000	0.006730	0.164137	
14.000000	0.006730	0.187488	
15.000000	0.006528	0.164129	
15.000000	0.006528	0.187784	
16.000000	0.006333	0.164123	
16.000000	0.006333	0.187595	
17.000000	0.006143	0.164118	
17.000000	0.006143	0.186976	
18.000000	0.005958	0.164115	
18.000000	0.005958	0.186918	
19.000000	0.005780	0.164112	
19.000000	0.005780	0.186897	
20.000000	0.005606	0.164109	
20.000000	0.005606	0.187005	
