Epoch	LR	Train Loss	
1.000000	0.010000	0.064459	
1.000000	0.010000	0.060325	
2.000000	0.009830	0.053113	
2.000000	0.009830	0.046120	
3.000000	0.009663	0.039789	
3.000000	0.009663	0.038137	
4.000000	0.009499	0.026658	
4.000000	0.009499	0.040337	
5.000000	0.009337	0.024773	
5.000000	0.009337	0.030966	
6.000000	0.009178	0.022234	
6.000000	0.009178	0.031971	
7.000000	0.009022	0.020810	
7.000000	0.009022	0.065119	
8.000000	0.008869	0.019723	
8.000000	0.008869	0.048228	
9.000000	0.008718	0.019084	
9.000000	0.008718	0.080100	
10.000000	0.008570	0.018703	
10.000000	0.008570	0.073526	
11.000000	0.008424	0.018502	
11.000000	0.008424	0.077569	
12.000000	0.008281	0.018401	
12.000000	0.008281	0.065847	
13.000000	0.008140	0.018349	
13.000000	0.008140	0.063258	
14.000000	0.008002	0.018320	
14.000000	0.008002	0.055471	
15.000000	0.007866	0.018302	
15.000000	0.007866	0.052204	
16.000000	0.007732	0.018289	
16.000000	0.007732	0.049094	
17.000000	0.007601	0.018281	
17.000000	0.007601	0.047221	
18.000000	0.007472	0.018274	
18.000000	0.007472	0.044303	
19.000000	0.007345	0.018269	
19.000000	0.007345	0.040475	
20.000000	0.007220	0.018264	
20.000000	0.007220	0.038591	
21.000000	0.007097	0.018261	
21.000000	0.007097	0.034604	
22.000000	0.006976	0.018258	
22.000000	0.006976	0.031906	
23.000000	0.006858	0.018255	
23.000000	0.006858	0.033637	
24.000000	0.006741	0.018253	
24.000000	0.006741	0.035744	
25.000000	0.006627	0.018251	
25.000000	0.006627	0.034360	
26.000000	0.006514	0.018250	
26.000000	0.006514	0.031661	
27.000000	0.006403	0.018248	
27.000000	0.006403	0.029448	
28.000000	0.006294	0.018247	
28.000000	0.006294	0.029770	
29.000000	0.006187	0.018246	
29.000000	0.006187	0.027102	
30.000000	0.006082	0.018245	
30.000000	0.006082	0.026013	
31.000000	0.005979	0.018244	
31.000000	0.005979	0.026412	
32.000000	0.005877	0.018243	
32.000000	0.005877	0.026247	
33.000000	0.005777	0.018242	
33.000000	0.005777	0.025854	
34.000000	0.005679	0.018242	
34.000000	0.005679	0.026559	
35.000000	0.005582	0.018241	
35.000000	0.005582	0.026631	
36.000000	0.005487	0.018240	
36.000000	0.005487	0.026842	
37.000000	0.005394	0.018240	
37.000000	0.005394	0.026403	
38.000000	0.005302	0.018239	
38.000000	0.005302	0.026373	
39.000000	0.005212	0.018239	
39.000000	0.005212	0.026664	
40.000000	0.005124	0.018238	
40.000000	0.005124	0.026329	
